,Rk,G,Date,Unnamed: 3,Opp,W/L,Tm,Opp.1,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Unnamed: 18,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 23,eFG%.1,TOV%.1,DRB%,FT/FGA.1
77,72,72,2015-03-27,,MIA,W,99,86,107.1,93.0,92.4,.333,.250,.600,48.1,83.8,13.0,8.5,,.556,16.2,14.3,.264,,.457,16.9,75.0,.134
78,73,73,2015-03-28,@,CHO,L,100,115,110.0,126.5,90.9,.163,.349,.543,46.2,86.5,6.6,7.4,,.517,9.8,16.7,.128,,.600,8.2,80.6,.238
79,74,74,2015-03-30,,MIL,W,101,88,121.0,105.4,83.5,.304,.367,.564,51.9,80.6,6.0,6.9,,.513,10.9,31.6,.253,,.480,11.4,69.8,.213
80,75,75,2015-03-31,@,DET,L,95,105,104.4,115.4,91.0,.119,.298,.537,53.1,62.5,8.8,0.0,,.524,16.1,29.3,.083,,.560,10.8,77.5,.145
81,76,76,2015-04-04,,BRK,W,131,99,138.9,105.0,94.3,.232,.402,.725,46.6,81.6,15.9,7.0,,.701,11.7,20.6,.195,,.550,19.4,69.2,.138
82,77,77,2015-04-07,,PHO,W,96,69,101.7,73.1,94.4,.169,.301,.538,59.3,51.2,9.5,6.3,,.518,14.4,22.2,.120,,.337,14.2,83.6,.157
83,78,78,2015-04-08,@,BRK,W,114,111,120.2,117.1,94.8,.291,.326,.588,46.0,81.4,11.6,6.6,,.564,10.2,23.3,.198,,.511,10.9,68.2,.253
84,79,79,2015-04-10,,CHO,W,104,80,115.0,88.4,90.5,.195,.341,.584,48.9,75.6,11.1,7.5,,.561,12.7,20.9,.146,,.410,12.5,74.5,.145
85,80,80,2015-04-12,@,WAS,L,99,108,99.8,108.9,99.2,.276,.333,.507,42.7,66.7,10.1,3.1,,.466,10.1,15.9,.207,,.512,16.4,68.9,.247
86,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
87,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
88,81,81,2015-04-13,,NYK,L,108,112,118.6,122.9,91.1,.261,.364,.550,48.7,69.2,11.0,5.8,,.506,7.5,28.6,.216,,.643,16.6,73.5,.169
89,82,82,2015-04-15,@,CHI,L,85,91,85.8,91.9,99.0,.076,.315,.447,45.7,41.7,10.1,18.9,,.435,13.6,18.9,.054,,.448,19.2,82.1,.286
90,1,1,2014-10-29,,BRK,W,121,105,121.8,105.7,99.3,.261,.250,.617,47.3,57.1,11.1,8.2,,.602,10.9,23.1,.170,,.531,17.9,74.3,.250
91,2,2,2014-11-01,@,HOU,L,90,104,92.2,106.6,97.6,.184,.255,.425,47.3,54.1,10.2,19.0,,.383,8.6,26.4,.153,,.500,15.4,75.0,.368
92,3,3,2014-11-03,@,DAL,L,113,118,114.3,119.4,98.9,.157,.304,.518,57.6,64.4,9.1,10.5,,.495,13.5,43.1,.118,,.622,15.8,79.4,.195
93,4,4,2014-11-05,,TOR,L,107,110,113.2,116.3,94.5,.231,.333,.623,69.6,55.0,5.3,4.2,,.577,23.9,48.6,.218,,.523,6.7,86.4,.218
94,5,5,2014-11-07,,IND,W,101,98,111.7,108.3,90.5,.188,.318,.549,47.5,66.7,6.6,4.3,,.512,11.5,24.3,.165,,.483,12.2,67.4,.148
95,6,6,2014-11-08,@,CHI,W,106,101,113.7,108.4,93.2,.247,.235,.590,54.2,59.5,6.4,4.1,,.562,11.8,20.6,.185,,.500,7.5,77.6,.098
96,7,7,2014-11-12,,OKC,L,94,109,106.6,123.6,88.2,.157,.398,.530,46.1,75.7,5.7,5.2,,.500,8.3,17.5,.133,,.549,8.0,77.8,.232
97,8,8,2014-11-14,,CLE,L,121,122,118.5,119.5,102.1,.261,.227,.617,49.4,66.7,6.9,1.6,,.580,12.5,20.0,.216,,.553,9.8,79.5,.329
98,9,9,2014-11-17,,PHO,L,114,118,106.6,110.3,107.0,.356,.115,.566,52.4,62.2,9.3,5.6,,.540,15.2,25.6,.230,,.565,15.2,80.5,.140
99,10,10,2014-11-19,@,PHI,W,101,90,102.3,91.2,98.7,.253,.241,.547,50.0,78.0,11.1,6.2,,.530,14.0,16.7,.157,,.436,13.6,80.4,.174
100,11,11,2014-11-21,@,MEM,L,100,117,100.8,117.9,99.2,.239,.307,.514,43.2,57.9,7.1,9.3,,.483,11.0,18.0,.170,,.571,12.6,76.3,.143
101,12,12,2014-11-23,,POR,L,88,94,92.2,98.5,95.4,.126,.242,.439,45.5,45.9,12.6,1.5,,.416,7.4,21.1,.095,,.471,14.7,77.3,.151
